Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1300443,7/22/15,12/17/15,10179908,1017990800,10179908,100,582,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300443,SRX554248,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621533,SAMN02740198,simple,1077150,Erythrolobus australicus,MMETSP1353,,,,,,,no,,,,,NCGR,SRA167331,,public,2066FB4B43B7F6396CEFB6A79DE76933,667FCA829A64D23D897DC692858CA29C
SRR1300444,7/22/15,12/17/15,12912509,1291250900,12912509,100,732,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300444,SRX554249,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621534,SAMN02740208,simple,708628,Erythrolobus madagascarensis,MMETSP1354,,,,,,,no,,,,,NCGR,SRA167331,,public,A72ADFA49759337B3C347F21D7E17C3D,9CC0F098B34049A1BB7909D8763AA98C
SRR1300445,7/22/15,12/17/15,26275221,2627522100,26275221,100,1557,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300445,SRX554250,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621538,SAMN02740587,simple,342563,Fabrea salina,MMETSP1345,,,,,,,no,,,,,NCGR,SRA167331,,public,4F60544335D546CD0C156E40FEE8C2FF,A270EB1758011BBC6E048113025A71D0
SRR1300446,7/22/15,12/17/15,11192891,1119289100,11192891,100,632,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300446,SRX554251,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621535,SAMN02740315,simple,265543,Minutocellus polymorphus,MMETSP1322,,,,,,,no,,,,,NCGR,SRA167331,,public,8313D1E87022594948EBA248621B98D8,863D8197DB8FAD6BFD62186EA846E668
SRR1300447,7/22/15,12/17/15,20868431,2086843100,20868431,100,1244,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300447,SRX554252,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621536,SAMN02740580,simple,35687,Dictyocha speculum,MMETSP1174,,,,,,,no,,,,,NCGR,SRA167331,,public,369072FF5DAB6E9A57BB59B1A9D81C9D,66A2EBE9D947FFE47B95C8F96430BB7F
SRR1300448,7/22/15,12/17/15,15768765,1576876500,15768765,100,900,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300448,SRX554253,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621537,SAMN02740206,simple,515479,Licmophora paradoxa,MMETSP1360,,,,,,,no,,,,,NCGR,SRA167331,,public,ADA2E9F9C332DC6E410B49AF1DD7A9F5,F72323B5EAED59662E2D3FA9EABE4A0C
SRR1300449,7/22/15,12/17/15,26489101,2648910100,26489101,100,1573,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300449,SRX554254,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621539,SAMN02740236,simple,210615,Staurosira,MMETSP1361,,,,,,,no,,,,,NCGR,SRA167331,,public,0A565819652AC7CC7A584FA2DBC32EA3,0E024303D371D83FDBD3F2E06C281B8C
SRR1300450,7/22/15,12/17/15,19930703,1993070300,19930703,100,1094,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300450,SRX554255,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621540,SAMN02740137,simple,163516,Leptocylindrus danicus,MMETSP1362,,,,,,,no,,,,,NCGR,SRA167331,,public,8396526CC595235866BD5C83DDED6F7A,E2900C8DD530E7C33365A951B7A5162B
SRR1300451,7/22/15,12/17/15,13221196,1322119600,13221196,100,721,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300451,SRX554256,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621541,SAMN02740108,simple,33640,Asterionellopsis glacialis,MMETSP1394,,,,,,,no,,,,,NCGR,SRA167331,,public,1344456CA365B041DDF9CA074300B192,A814CC26A4CA107D07B08BBAB4D63563
SRR1300452,7/22/15,12/17/15,17181029,1718102900,17181029,100,967,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1300452,SRX554257,,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042159,PRJNA248394,,248394,SRS621542,SAMN02740374,simple,476441,Pseudo-nitzschia heimii,MMETSP1423,,,,,,,no,,,,,NCGR,SRA167331,,public,02D2775ED24D88AE066E66D06112CDA7,254A817BF9C9E07A61220230B25408C4
